"TOA5","1001_CR6","CR6","2605","CR6.Std.03","CPU:CR6_METandSF_WR Update_20151217.CR6","63039","Hour"
"TIMESTAMP","RECORD","WS6m_ms_S_WVT","WD_6m_D1_WVT","WD_6m_SD1_WVT","WS_2m_Avg","WS_0m_Avg","BattV_Avg","site","snstsnmbr","sensitpc_Tot"
"TS","RN","meters/second","Deg","Deg","meters/second","meters/second","Volts","","",""
"","","WVc","WVc","WVc","Avg","Avg","Avg","Smp","Smp","Tot"
"2016-02-09 11:00:00",836,1.824,298.7,36.53,1.766,1.348,13.6,1001,1623,0
"2016-02-09 12:00:00",837,3.148,143.8,6.542,3.125,2.43,13.5,1001,1623,0
"2016-02-09 13:00:00",838,4.057,149,5.75,3.824,2.951,13.56,1001,1623,0
"2016-02-09 14:00:00",839,4.565,150.9,5.124,4.108,3.084,13.57,1001,1623,0
"2016-02-09 15:00:00",840,4.543,152.3,5.742,3.839,2.837,13.58,1001,1623,0
"2016-02-09 16:00:00",841,4.194,146.5,5.067,3.35,2.522,13.58,1001,1623,0
"2016-02-09 17:00:00",842,3.717,146.2,3.845,2.583,1.867,13.54,1001,1623,0
"2016-02-09 18:00:00",843,2.012,79.87,19.42,1.172,0.583,12.91,1001,1623,0
"2016-02-09 19:00:00",844,1.242,53.36,22.68,1.083,0.329,12.84,1001,1623,0
"2016-02-09 20:00:00",845,2.275,247.5,19.77,1.492,0.587,12.81,1001,1623,0
"2016-02-09 21:00:00",846,2.37,313.9,12.29,1.517,0.59,12.79,1001,1623,0
"2016-02-09 22:00:00",847,3.097,341.2,8.29,1.981,1.057,12.79,1001,1623,0
"2016-02-09 23:00:00",848,1.982,292.9,28.29,1.397,0.632,12.75,1001,1623,0
"2016-02-10 00:00:00",849,2.301,295.9,7.708,1.552,0.599,12.74,1001,1623,0
"2016-02-10 01:00:00",850,2.465,313.4,20.82,1.728,0.86,12.72,1001,1623,0
"2016-02-10 02:00:00",851,1.711,317.8,33.4,1.317,0.56,12.71,1001,1623,0
"2016-02-10 03:00:00",852,2.517,324.7,14.52,1.778,0.786,12.68,1001,1623,0
"2016-02-10 04:00:00",853,1.373,311.5,28.3,1.146,0.389,12.67,1001,1623,0
"2016-02-10 05:00:00",854,3.241,334,6.133,2.17,1.177,12.64,1001,1623,0
"2016-02-10 06:00:00",855,3.082,323.8,6.063,2.039,1.158,12.64,1001,1623,0
"2016-02-10 07:00:00",856,3.362,307.7,4.878,2.291,1.382,12.68,1001,1623,0
"2016-02-10 08:00:00",857,1.716,1.894,21.85,1.41,0.852,13.68,1001,1623,0
"2016-02-10 09:00:00",858,1.368,86.5,35.66,1.441,1.057,14.32,1001,1623,0
"2016-02-10 10:00:00",859,1.358,150,25.85,1.414,1.109,14.15,1001,1623,0
"2016-02-10 11:00:00",860,2.495,127.2,10.56,2.468,1.721,13.75,1001,1623,0
"2016-02-10 12:00:00",861,3.243,134.7,5.355,3.199,2.383,13.74,1001,1623,0
"2016-02-10 13:00:00",862,2.747,140.1,6.063,2.725,2.063,13.76,1001,1623,0
"2016-02-10 14:00:00",863,2.637,122.4,8.17,2.572,1.72,13.68,1001,1623,0
"2016-02-10 15:00:00",864,2.709,106.6,8.55,2.598,1.375,13.59,1001,1623,0
"2016-02-10 16:00:00",865,2.278,129.2,8.28,2.239,1.414,13.57,1001,1623,0
"2016-02-10 17:00:00",866,1.152,179.9,10.47,1.105,0.706,13.64,1001,1623,0
"2016-02-10 18:00:00",867,1.785,231.6,11.61,1.314,0.193,12.95,1001,1623,0
"2016-02-10 19:00:00",868,1.922,298.7,6.571,1.318,0.208,12.85,1001,1623,0
"2016-02-10 20:00:00",869,2.148,320.2,9.24,1.301,0.404,12.82,1001,1623,0
