"TOA5","1002","CR6","2606","CR6.Std.03","CPU:1002_METandSF_WR Update_20151217.CR6","8942","Hour"
"TIMESTAMP","RECORD","WS6m_ms_S_WVT","WD_6m_D1_WVT","WD_6m_SD1_WVT","WS_2m_Avg","WS_0m_Avg","BattV_Avg","site","snstsnmbr","sensitpc_Tot"
"TS","RN","meters/second","Deg","Deg","meters/second","meters/second","Volts","","",""
"","","WVc","WVc","WVc","Avg","Avg","Avg","Smp","Smp","Tot"
"2015-12-19 10:00:00",0,0,0,0,0,1.215,12.77,1002,7999,0
"2015-12-19 11:00:00",1,0,0,0,0,1.032,12.79,1002,7999,0
"2015-12-19 12:00:00",2,0.739,91.9,3.382,0.469,1.189,12.79,1002,7999,0
"2015-12-19 13:00:00",3,2.225,87.2,8.9,2.113,1.263,12.8,1002,7999,0
"2015-12-19 14:00:00",4,2.707,93.5,6.837,2.629,1.699,13.95,1002,7999,0
"2015-12-19 15:00:00",5,2.997,93.8,5.238,2.847,1.801,13.94,1002,7999,0
"2015-12-19 16:00:00",6,3.403,119.5,6.641,3.111,2.272,13.86,1002,7999,0
"2015-12-19 17:00:00",7,1.89,152.3,27.83,1.433,0.798,13.55,1002,7999,0
"2015-12-19 18:00:00",8,3.202,116.6,40.55,2.596,1.582,13.09,1002,7999,0
"2015-12-19 19:00:00",9,2.957,322.7,17.98,2.412,1.406,13.01,1002,7999,0
"2015-12-19 20:00:00",10,3.325,305.1,15.21,2.594,1.472,12.98,1002,7999,0
"2015-12-19 21:00:00",11,1.945,249.5,17.21,1.691,0.676,12.96,1002,7999,0
"2015-12-19 22:00:00",12,1.801,299.2,47.25,1.56,0.824,12.92,1002,7999,0
"2015-12-19 23:00:00",13,1.88,101.4,41.22,1.688,0.947,12.92,1002,7999,0
"2015-12-20 00:00:00",14,4.567,327.2,16.48,3.928,2.757,12.91,1002,7999,0
"2015-12-20 01:00:00",15,2.28,341.3,32.61,1.791,1.055,12.88,1002,7999,0
"2015-12-20 02:00:00",16,1.924,174.9,38.73,1.841,1.099,12.88,1002,7999,0
"2015-12-20 03:00:00",17,3.236,210.9,43.36,2.542,1.389,12.87,1002,7999,0
"2015-12-20 04:00:00",18,2.8,284.7,42.18,2.362,1.292,12.84,1002,7999,0
"2015-12-20 05:00:00",19,1.669,270.6,37.77,1.47,0.685,12.84,1002,7999,0
"2015-12-20 06:00:00",20,1.903,312.1,39.13,1.531,0.63,12.83,1002,7999,0
"2015-12-20 07:00:00",21,1.865,254.2,31.18,1.648,0.717,12.85,1002,7999,0
"2015-12-20 08:00:00",22,2.374,279,6.095,1.558,0.639,14.42,1002,7999,0
"2015-12-20 09:00:00",23,1.571,312.5,16.91,1.333,0.988,14.12,1002,7999,0
"2015-12-20 10:00:00",24,3.885,336.3,7.327,3.533,2.738,13.82,1002,7999,0
"2015-12-20 11:00:00",25,3.39,3.601,5.812,3.163,2.588,13.83,1002,7999,0
"2015-12-20 12:00:00",26,3.448,12.68,7.168,3.158,2.531,13.82,1002,7999,0
"2015-12-20 13:00:00",27,3.304,10.46,5.66,3.008,2.449,13.82,1002,7999,0
"2015-12-20 14:00:00",28,2.203,22.42,9.1,2.037,1.613,13.83,1002,7999,0
"2015-12-20 15:00:00",29,2.11,3.325,9.71,1.91,1.577,13.82,1002,7999,0
"2015-12-20 16:00:00",30,2.54,338.1,5.54,2.045,1.609,13.83,1002,7999,0
"2015-12-20 17:00:00",31,1.358,101.8,21.44,1.123,0.464,13.53,1002,7999,0
"2015-12-20 18:00:00",32,1.474,204.5,17.09,1.351,0.321,13.1,1002,7999,0
"2015-12-20 19:00:00",33,2.041,240.9,7.862,1.65,0.549,13.02,1002,7999,0
