"TOA5","1002","CR6","2606","CR6.Std.03","CPU:1002_METandSF_WR Update_20151217.CR6","8942","Min05"
"TIMESTAMP","RECORD","WS6m_ms_S_WVT","WD_6m_D1_WVT","WD_6m_SD1_WVT","WS_2m_Avg","WS_0m_Avg","site","sensitpc_Avg","sensitke_Avg","sensitpc_Tot"
"TS","RN","meters/second","Deg","Deg","meters/second","meters/second","","","",""
"","","WVc","WVc","WVc","Avg","Avg","Smp","Avg","Avg","Tot"
"2015-12-19 09:50:00",0,0,0,0,0,1.362,1002,0,0,0
"2015-12-19 09:55:00",1,0,0,0,0,1.269,1002,0,0,0
"2015-12-19 10:00:00",2,0,0,0,0,1.119,1002,0,0,0
"2015-12-19 10:05:00",3,0,0,0,0,0.877,1002,0,0,0
"2015-12-19 10:10:00",4,0,0,0,0,0.763,1002,0,0,0
"2015-12-19 10:15:00",5,0,0,0,0,0.946,1002,0,0,0
"2015-12-19 10:20:00",6,0,0,0,0,0.947,1002,0,0,0
"2015-12-19 10:25:00",7,0,0,0,0,0.956,1002,0,0,0
"2015-12-19 10:30:00",8,0,0,0,0,0.939,1002,0,0,0
"2015-12-19 10:35:00",9,0,0,0,0,0.965,1002,0,0,0
"2015-12-19 10:40:00",10,0,0,0,0,1.113,1002,0,0,0
"2015-12-19 10:45:00",11,0,0,0,0,1.178,1002,0,0,0
"2015-12-19 10:50:00",12,0,0,0,0,1.193,1002,0,0,0
"2015-12-19 10:55:00",13,0,0,0,0,1.199,1002,0,0,0
"2015-12-19 11:00:00",14,0,0,0,0,1.303,1002,0,0,0
"2015-12-19 11:05:00",15,0,0,0,0,1.543,1002,0,0,0
"2015-12-19 11:10:00",16,0,0,0,0,1.727,1002,0,0,0
"2015-12-19 11:15:00",17,0,0,0,0,1.639,1002,0,0,0
"2015-12-19 11:20:00",18,0,0,0,0,1.474,1002,0,0,0
"2015-12-19 11:25:00",19,0,0,0,0,1.45,1002,0,0,0
"2015-12-19 11:30:00",20,0,0,0,0,0.96,1002,0,0,0
"2015-12-19 11:35:00",21,2.076,92.5,2.311,0,0.778,1002,0,0,0
"2015-12-19 11:40:00",22,1.016,90.2,2.284,0,1.011,1002,0,0,0
"2015-12-19 11:45:00",23,1.406,91.7,5.905,2.307,0.846,1002,0,0,0
"2015-12-19 11:50:00",24,1.332,91.3,6.568,0.717,0.798,1002,0,0,0
"2015-12-19 11:55:00",25,1.348,92.8,5.62,1.226,0.885,1002,0,0,0
"2015-12-19 12:00:00",26,1.695,92,4.055,1.38,1.151,1002,0,0,0
"2015-12-19 12:05:00",27,1.786,90.3,7.105,1.416,1.215,1002,0,0,0
"2015-12-19 12:10:00",28,1.788,86.6,19.3,1.516,1.095,1002,0,0,0
"2015-12-19 12:15:00",29,1.874,91.3,8.69,1.608,1.073,1002,0,0,0
"2015-12-19 12:20:00",30,2.138,92.1,8.34,2.22,1.343,1002,0,0,0
"2015-12-19 12:25:00",31,2.314,84.4,6.075,2.279,1.265,1002,0,0,0
"2015-12-19 12:30:00",32,2.458,88.9,6.185,2.476,1.357,1002,0,0,0
"2015-12-19 12:35:00",33,2.46,88,5.402,2.394,1.33,1002,0,0,0
"2015-12-19 12:40:00",34,2.178,85.5,7.199,2.146,1.219,1002,0,0,0
"2015-12-19 12:45:00",35,2.351,80,7.078,2.255,1.223,1002,0,0,0
"2015-12-19 12:50:00",36,2.466,83.7,5.799,2.423,1.33,1002,0,0,0
"2015-12-19 12:55:00",37,2.415,87.1,6.47,2.292,1.357,1002,0,0,0
"2015-12-19 13:00:00",38,2.476,87.9,6.337,2.335,1.351,1002,0,0,0
"2015-12-19 13:05:00",39,2.354,78.33,7.562,2.279,1.258,1002,0,0,0
"2015-12-19 13:10:00",40,2.236,85,7.823,2.159,1.378,1002,0,0,0
"2015-12-19 13:15:00",41,2.458,87.9,6.896,2.41,1.373,1002,0,0,0
"2015-12-19 13:20:00",42,2.562,91.1,7.45,2.538,1.61,1002,0,0,0
"2015-12-19 13:25:00",43,2.495,95.8,4.905,2.412,1.663,1002,0,0,0
"2015-12-19 13:30:00",44,2.722,95.6,6.036,2.647,1.749,1002,0,0,0
"2015-12-19 13:35:00",45,3.167,98.5,5.619,3.087,2.01,1002,0,0,0
"2015-12-19 13:40:00",46,3.364,101.7,4.966,3.172,2.146,1002,0,0,0
"2015-12-19 13:45:00",47,2.882,95.6,5.631,2.836,1.847,1002,0,0,0
"2015-12-19 13:50:00",48,2.818,96.4,5.78,2.78,1.861,1002,0,0,0
"2015-12-19 13:55:00",49,2.738,94,5.076,2.644,1.738,1002,0,0,0
"2015-12-19 14:00:00",50,2.684,101.9,4.771,2.578,1.759,1002,0,0,0
"2015-12-19 14:05:00",51,2.532,98.1,5.378,2.423,1.695,1002,0,0,0
"2015-12-19 14:10:00",52,2.727,91.7,4.942,2.698,1.645,1002,0,0,0
"2015-12-19 14:15:00",53,2.639,98.5,5.913,2.471,1.703,1002,0,0,0
"2015-12-19 14:20:00",54,2.759,94.5,4.809,2.796,1.775,1002,0,0,0
"2015-12-19 14:25:00",55,3.188,89,3.814,3.111,1.821,1002,0,0,0
"2015-12-19 14:30:00",56,2.911,89.1,3.58,2.767,1.695,1002,0,0,0
"2015-12-19 14:35:00",57,3.052,89,5.006,2.972,1.794,1002,0,0,0
"2015-12-19 14:40:00",58,3.068,94.1,4.483,2.956,1.879,1002,0,0,0
"2015-12-19 14:45:00",59,3.138,99,4.244,2.866,1.861,1002,0,0,0
"2015-12-19 14:50:00",60,3.322,96.8,4.247,3.087,1.957,1002,0,0,0
"2015-12-19 14:55:00",61,3.258,92.1,4.757,2.951,1.893,1002,0,0,0
"2015-12-19 15:00:00",62,3.375,93.5,4.768,3.066,1.89,1002,0,0,0
"2015-12-19 15:05:00",63,3.031,93.7,4.189,2.847,1.805,1002,0,0,0
