"TOA5","1003_CR6","CR6","2611","CR6.Std.03","CPU:1003_METandSF_WR Update_20151217.CR6","56809","Hour"
"TIMESTAMP","RECORD","WS6m_ms_S_WVT","WD_6m_D1_WVT","WD_6m_SD1_WVT","WS_2m_Avg","WS_0m_Avg","BattV_Avg","site","snstsnmbr","sensitpc_Tot"
"TS","RN","meters/second","Deg","Deg","meters/second","meters/second","Volts","","",""
"","","WVc","WVc","WVc","Avg","Avg","Avg","Smp","Smp","Tot"
"2016-02-09 11:00:00",1243,2.873,251.5,12.18,2.807,2.169,14.13,1003,1622,0
"2016-02-09 12:00:00",1244,3.436,251.2,6.129,3.354,2.595,13.76,1003,1622,0
"2016-02-09 13:00:00",1245,3.254,248.7,4.789,3.139,2.482,13.74,1003,1622,0
"2016-02-09 14:00:00",1246,3.674,242.2,4.936,3.449,2.674,13.69,1003,1622,0
"2016-02-09 15:00:00",1247,3.194,235.3,5.085,3.026,2.354,13.64,1003,1622,0
"2016-02-09 16:00:00",1248,2.83,241.4,10.99,2.495,1.919,13.62,1003,1622,0
"2016-02-09 17:00:00",1249,2.193,272.1,9.31,1.518,0.824,13.71,1003,1622,0
"2016-02-09 18:00:00",1250,1.725,287.5,16.05,1.251,0.296,13.1,1003,1622,0
"2016-02-09 19:00:00",1251,2.791,47.27,7.323,1.766,0.465,12.93,1003,1622,0
"2016-02-09 20:00:00",1252,2.129,89.2,14.21,1.461,0.298,12.89,1003,1622,0
"2016-02-09 21:00:00",1253,1.764,169.1,28.23,1.418,0.376,12.86,1003,1622,0
"2016-02-09 22:00:00",1254,2.711,139.4,15.42,2.025,0.933,12.84,1003,1622,0
"2016-02-09 23:00:00",1255,1.514,213.6,33.46,1.001,0.351,12.82,1003,1622,0
"2016-02-10 00:00:00",1256,1.49,62.16,39.08,1.337,0.338,12.81,1003,1622,0
"2016-02-10 01:00:00",1257,2.064,115.6,13.38,1.503,0.416,12.78,1003,1622,0
"2016-02-10 02:00:00",1258,2.653,181.6,14.64,1.921,0.775,12.76,1003,1622,0
"2016-02-10 03:00:00",1259,2.06,143.6,37.23,1.846,0.782,12.74,1003,1622,0
"2016-02-10 04:00:00",1260,2.177,81.8,12.42,1.611,0.513,12.71,1003,1622,0
"2016-02-10 05:00:00",1261,2.03,131,9.53,1.519,0.455,12.69,1003,1622,0
"2016-02-10 06:00:00",1262,2.408,132.7,15.74,1.896,0.714,12.66,1003,1622,0
"2016-02-10 07:00:00",1263,2.25,128.1,12.34,1.744,0.709,12.66,1003,1622,0
"2016-02-10 08:00:00",1264,2.058,118,9.85,1.881,1.224,13.35,1003,1622,0
"2016-02-10 09:00:00",1265,2.273,101.9,10.68,2.169,1.211,14.24,1003,1622,0
"2016-02-10 10:00:00",1266,1.26,283.8,20.46,1.238,1,14.29,1003,1622,0
"2016-02-10 11:00:00",1267,1.861,273.9,10.47,1.846,1.545,14.2,1003,1622,0
"2016-02-10 12:00:00",1268,2.015,271.9,9.66,1.949,1.619,13.85,1003,1622,0
"2016-02-10 13:00:00",1269,1.974,305.2,8.31,1.934,1.587,13.75,1003,1622,0
"2016-02-10 14:00:00",1270,2.091,329.4,11.33,2.026,1.659,13.71,1003,1622,0
"2016-02-10 15:00:00",1271,1.73,338.4,7.521,1.681,1.363,13.71,1003,1622,0
"2016-02-10 16:00:00",1272,2.315,354.4,6.944,2.262,1.759,13.75,1003,1622,0
"2016-02-10 17:00:00",1273,1.49,24.89,6.407,1.31,0.59,13.64,1003,1622,0
"2016-02-10 18:00:00",1274,1.701,26.32,6.98,1.32,0.254,13.13,1003,1622,0
"2016-02-10 19:00:00",1275,1.929,56.03,5.239,0.971,0.001,12.93,1003,1622,0
