"TOA5","1003_Salton","CR6","2611","CR6.Std.03","CPU:1003_METandSF_WR Update_20151217.CR6","56809","Hour"
"TIMESTAMP","RECORD","WS6m_ms_S_WVT","WD_6m_D1_WVT","WD_6m_SD1_WVT","WS_2m_Avg","WS_0m_Avg","BattV_Avg","site","snstsnmbr","sensitpc_Tot"
"TS","RN","meters/second","Deg","Deg","meters/second","meters/second","Volts","","",""
"","","WVc","WVc","WVc","Avg","Avg","Avg","Smp","Smp","Tot"
"2015-12-19 16:00:00",0,1.335,282.5,60.84,1.124,0.806,13.91,1003,1622,0
"2015-12-19 17:00:00",1,1.239,282.1,26.39,1.043,0.653,13.54,1003,1622,0
"2015-12-19 18:00:00",2,2.013,162.1,26.21,1.772,1.021,13.09,1003,1622,0
"2015-12-19 19:00:00",3,2.801,160.2,5.71,1.857,0.909,13.02,1003,1622,0
"2015-12-19 20:00:00",4,3.161,112.7,22.15,2.476,1.389,12.99,1003,1622,0
"2015-12-19 21:00:00",5,3.48,150.7,17.92,2.818,1.823,12.97,1003,1622,0
"2015-12-19 22:00:00",6,3.416,106.7,32.78,2.807,1.496,12.94,1003,1622,0
"2015-12-19 23:00:00",7,3.473,96.9,13.37,2.767,1.334,12.94,1003,1622,0
"2015-12-20 00:00:00",8,2.378,108.8,25.38,2.082,1.158,12.91,1003,1622,0
"2015-12-20 01:00:00",9,4.647,289,11.32,3.91,2.632,12.89,1003,1622,0
"2015-12-20 02:00:00",10,2.596,95.8,27.05,2.121,1.255,12.87,1003,1622,0
"2015-12-20 03:00:00",11,3.214,141.4,27.23,2.509,1.608,12.86,1003,1622,0
"2015-12-20 04:00:00",12,2.035,110.5,58.45,1.807,1.225,12.83,1003,1622,0
"2015-12-20 05:00:00",13,2.437,102.7,39.14,2.134,1.23,12.82,1003,1622,0
"2015-12-20 06:00:00",14,2.321,121.4,19.76,1.949,1.036,12.8,1003,1622,0
"2015-12-20 07:00:00",15,7.509,259.64,4.325,6.48,4.323,12.81,1003,1622,0
"2015-12-20 08:00:00",16,7.571,249.55,4.43,6.651,4.577,13.97,1003,1622,0
"2015-12-20 09:00:00",17,5.889,261.1,5.767,5.204,3.662,14.45,1003,1622,0
"2015-12-20 10:00:00",18,3.659,290.3,5.954,3.387,2.533,14.05,1003,1622,0
"2015-12-20 11:00:00",19,3.615,309.4,6.826,3.497,2.675,13.9,1003,1622,0
"2015-12-20 12:00:00",20,3.708,321.4,6.578,3.63,2.76,13.88,1003,1622,0
"2015-12-20 13:00:00",21,3.404,326.1,5.886,3.343,2.593,13.88,1003,1622,0
"2015-12-20 14:00:00",22,2.781,289.7,5.755,2.708,2.111,13.88,1003,1622,0
"2015-12-20 15:00:00",23,2.267,290.9,5.619,2.213,1.735,13.91,1003,1622,0
"2015-12-20 16:00:00",24,1.801,282.5,11.47,1.661,1.249,13.95,1003,1622,0
"2015-12-20 17:00:00",25,1.741,167.6,15.56,1.414,0.811,13.47,1003,1622,0
"2015-12-20 18:00:00",26,1.212,94.4,12.11,0.785,0.188,13.05,1003,1622,0
"2015-12-20 19:00:00",27,1.264,40.3,16.02,0.764,0.203,13.01,1003,1622,0
"2015-12-20 20:00:00",28,1.789,102.8,14.99,1.202,0.667,12.97,1003,1622,0
"2015-12-20 21:00:00",29,2.038,195.83,9.12,1.313,0.552,12.94,1003,1622,0
"2015-12-20 22:00:00",30,1.395,148.5,13.46,1.36,0.566,12.94,1003,1622,0
"2015-12-20 23:00:00",31,2.455,73,8.11,1.782,0.86,12.9,1003,1622,0
"2015-12-21 00:00:00",32,1.828,86.3,11.9,1.307,0.453,12.89,1003,1622,0
"2015-12-21 01:00:00",33,2.653,131.9,7.828,2.104,1.137,12.86,1003,1622,0
